City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
0,dobson,US,clear sky,82.0,36.4,-80.72,Beagles Bed & Breakfast
1,kapaa,US,scattered clouds,82.4,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
6,bandarbeyla,SO,overcast clouds,80.85,9.49,50.81,REER XOOSHLE GROUP
9,cabedelo,BR,few clouds,82.4,-6.98,-34.83,Lua Mansa Pousada
10,nikolskoye,RU,clear sky,73.4,59.7,30.79,Tourist House - Sablino
11,dukat,RU,clear sky,65.57,62.55,155.55,
12,rapid valley,US,clear sky,84.2,44.06,-103.15,Fairfield Inn & Suites by Marriott Rapid City
13,puerto ayora,EC,overcast clouds,80.6,-0.74,-90.35,Finch Bay Galapagos Hotel
14,atuona,PF,clear sky,80.15,-9.8,-139.03,Villa Enata
15,scottsboro,US,broken clouds,82.4,34.67,-86.03,Econo Lodge
17,isla mujeres,MX,haze,87.8,21.23,-86.73,Hotel La Joya Isla Mujeres
18,kutum,SD,overcast clouds,76.98,14.2,24.67,Dibbo areaمنطقة دبو
19,castro,BR,few clouds,68.16,-24.79,-50.01,CHACARA BAILLY
24,police,PL,clear sky,75.0,53.55,14.57,Hotel Dobosz
25,mahebourg,MU,shower rain,73.4,-20.41,57.7,Shandrani Beachcomber Resort & Spa
27,kousseri,CM,thunderstorm with light rain,75.2,12.08,15.03,Résidence le Palmier
29,presidente olegario,BR,clear sky,79.0,-18.42,-46.42,Cruzeiro Hotel
30,washington,US,clear sky,82.99,47.5,-120.5,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
31,katsuura,JP,broken clouds,73.0,35.13,140.3,Katsuura Hilltop Hotel & Residence
32,roald,NO,clear sky,64.4,62.58,6.13,Flem Cabins
33,aras,ES,few clouds,69.8,42.56,-2.36,Jardines de Viana Spa
35,indaial,BR,light rain,73.0,-26.9,-49.23,OYO Hotel Indaial
37,bambous virieux,MU,shower rain,73.4,-20.34,57.76,Casa Tia Villa
39,banda aceh,ID,overcast clouds,81.37,5.56,95.32,OYO 884 Rumoh PMI Hotel
42,kamenka,RU,overcast clouds,62.01,51.32,42.77,
43,faya,SA,clear sky,75.2,18.39,42.45,مقبرة ال مجمل
44,mehran,IR,clear sky,75.2,33.12,46.16,زائرسرای نور
45,hithadhoo,MV,broken clouds,84.29,-0.6,73.08,Scoop Guest House
46,avarua,CK,scattered clouds,73.4,-21.21,-159.78,Paradise Inn
49,jamestown,US,broken clouds,68.0,42.1,-79.24,Hampton Inn & Suites Jamestown
53,westport,US,clear sky,87.01,41.14,-73.36,The Westport Inn
55,ribeira grande,PT,broken clouds,68.0,38.52,-28.7,Quinta da Meia Eira
57,yellowknife,CA,broken clouds,62.6,62.46,-114.35,The Explorer Hotel
59,bergerac,FR,broken clouds,82.0,44.83,0.5,Hôtel de Bordeaux
60,the valley,AI,few clouds,89.6,18.22,-63.06,CeBlue Villas & Beach Resort
63,martapura,ID,clear sky,72.68,-3.42,114.85,Montana Hotel Syariah
64,ciechanow,PL,overcast clouds,73.4,52.88,20.62,Hotel ATENA
65,kavieng,PG,broken clouds,83.25,-2.57,150.8,Nusa Island Retreat
73,avera,US,clear sky,86.0,33.19,-82.53,
77,thompson,CA,light intensity shower rain,66.2,55.74,-97.86,Burntwood Hotel
78,albany,US,few clouds,84.99,42.6,-73.97,
80,ndende,GA,broken clouds,75.49,-2.4,11.36,
81,kahului,US,scattered clouds,84.2,20.89,-156.47,Maui Seaside Hotel
82,east london,ZA,clear sky,70.52,-33.02,27.91,Tu Casa
83,torbay,CA,scattered clouds,81.0,47.67,-52.73,Gallows Cove
85,narodychi,UA,clear sky,63.9,51.2,29.08,
86,aguilas,ES,clear sky,79.0,37.41,-1.58,Hotel Carlos III
90,kollam,IN,heavy intensity rain,78.8,8.88,76.6,The Raviz Ashtamudi
91,brigham city,US,clear sky,78.8,41.51,-112.02,Best Western Brigham City Inn & Suites
93,georgetown,MY,thunderstorm,80.6,5.41,100.34,Cititel Penang
94,morondava,MG,clear sky,74.43,-20.28,44.28,La Case Bambou
95,butaritari,KI,scattered clouds,82.74,3.07,172.79,Isles Sunset Lodge
96,vao,NC,broken clouds,69.21,-22.67,167.48,Hotel Kou-Bugny
97,ponta do sol,PT,scattered clouds,70.0,32.67,-17.1,Hotel do Campo
100,inyonga,TZ,broken clouds,68.59,-6.72,32.07,Eden Rock Lodge
101,hilo,US,overcast clouds,80.6,19.73,-155.09,Hilo Hawaiian Hotel
103,udachnyy,RU,few clouds,62.6,66.42,112.4,Gostinitsa Vilyuy
104,alamosa,US,clear sky,78.8,37.47,-105.87,Best Western Alamosa Inn
108,caravelas,BR,clear sky,77.76,-17.71,-39.25,Pousada dos Navegantes
109,asyut,EG,clear sky,82.4,27.18,31.18,Florence Hotel Assiut
111,neiafu,TO,scattered clouds,75.2,-18.65,-173.98,Mystic Sands
114,port alfred,ZA,clear sky,69.01,-33.59,26.89,The Halyards Hotel
116,la ronge,CA,few clouds,77.0,55.1,-105.28,Northland Motor Hotel
117,margate,GB,clear sky,73.0,51.38,1.39,Premier Inn Margate hotel
118,saskylakh,RU,clear sky,75.65,71.92,114.08,
120,wakefield,GB,few clouds,75.0,53.68,-1.5,Hôtel Restaurant Campanile Wakefield
122,marzuq,YE,clear sky,84.09,14.4,46.47,
124,umea,SE,few clouds,71.6,63.83,20.26,Hotel Avenue | ProfilHotels
125,jinchang,CN,overcast clouds,71.33,38.5,102.17,Mingshihui Jinchang International Hotel
126,palmer,US,scattered clouds,84.0,42.16,-72.33,Wedgewood Motel
127,vaini,TO,broken clouds,71.6,-21.2,-175.2,Keleti Beach Resort
128,lagoa,PT,broken clouds,66.09,39.05,-27.98,Casa Das Faias
129,jalu,LY,clear sky,84.96,29.03,21.55,Jalu Hotel
131,nabire,ID,overcast clouds,75.94,-3.37,135.48,Hotel Nusantara Nabire
136,birao,CF,scattered clouds,80.22,10.28,22.79,
138,iquitos,PE,broken clouds,86.0,-3.75,-73.25,Cortez Malaga Techy Caroly
139,sola,VU,scattered clouds,78.8,-13.88,167.55,Leumerus Bungalows
140,port elizabeth,ZA,clear sky,70.93,-33.92,25.57,39 On Nile Guest House
142,gazli,UZ,clear sky,84.09,40.13,63.45,
143,mumbwa,ZM,broken clouds,62.35,-14.98,27.06,Mumbwa Motel
145,mizdah,LY,clear sky,83.68,31.45,12.98,محمدالمبروك الاريقط
148,lakefield,US,clear sky,82.99,43.68,-95.17,Wind Mill Motel
149,puerto escondido,MX,broken clouds,86.0,15.85,-97.07,Aldea del Bazar Hotel and Spa
151,hamilton,US,scattered clouds,84.99,39.18,-84.53,Six Acres Bed & Breakfast
153,basco,PH,overcast clouds,84.83,20.45,121.97,Nathaniel's Lodge
156,saint-pierre,RE,clear sky,71.6,-21.34,55.48,Lindsey Hôtel
158,bethel,US,few clouds,82.99,41.37,-73.41,Courtyard by Marriott Danbury
160,sao filipe,CV,clear sky,76.62,14.9,-24.5,Tortuga B&B
163,asau,RO,scattered clouds,63.0,46.43,26.4,Casa Mika Ciobanus
165,bozoum,CF,overcast clouds,68.02,6.32,16.38,
166,mecca,SA,clear sky,87.1,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
167,sakaiminato,JP,light intensity shower rain,75.2,35.55,133.23,味処・民宿 まつや
168,da nang,VN,few clouds,82.4,16.07,108.22,Grand Mercure Danang
169,lasa,IT,broken clouds,63.0,46.62,10.7,Pension Feldgärtenhof
170,kupang,ID,overcast clouds,76.33,-10.17,123.58,Sylvia Hotel Premier Kupang
173,axim,GH,overcast clouds,77.79,4.87,-2.24,AXIM BEACH RESORT AND SPA
174,ucluelet,CA,overcast clouds,61.0,48.93,-125.55,Black Rock Oceanfront Resort
175,green river,US,clear sky,80.6,41.53,-109.47,Hampton Inn & Suites Green River
177,saint anthony,US,clear sky,84.99,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
180,cabo san lucas,MX,clear sky,87.8,22.89,-109.91,Hotel Tesoro Los Cabos
185,marrakesh,MA,few clouds,84.2,31.63,-8.01,Les Jardins de La Koutoubia
187,portland,US,few clouds,73.0,45.52,-122.68,Portland Marriott City Center
189,najran,SA,few clouds,87.8,17.49,44.13,محمد هادي ال فطيح
190,pozo colorado,PY,broken clouds,63.79,-23.49,-58.8,Hospedaje la Amistad
194,atherton,GB,overcast clouds,82.0,53.52,-2.49,The Mercury Motel
195,pangai,TO,few clouds,77.0,-19.8,-174.35,Ha'apai Beach Resort
196,dobele,LV,clear sky,73.4,56.62,23.28,Reki
198,zhigansk,RU,broken clouds,65.17,66.77,123.37,Gostinichnyy Kompleks Aylgy
200,garissa,KE,clear sky,78.03,-0.45,39.64,Almond Resort
201,road town,VG,few clouds,87.8,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
202,san cristobal,VE,dust,89.6,7.77,-72.22,Pirineos
204,saint-joseph,RE,few clouds,71.6,-21.37,55.62,"""Plantation Bed and Breakfast"
205,cockburn town,TC,broken clouds,83.68,21.46,-71.14,Osprey Beach Hotel
207,sangar,RU,broken clouds,62.46,63.92,127.47,
209,gizo,SB,overcast clouds,82.65,-8.1,156.84,Imagination Island
210,ferrol,ES,broken clouds,62.6,43.48,-8.24,Carrís Almirante
211,khawhai,IN,overcast clouds,62.53,23.37,93.12,Homestay Khawhai
215,bathsheba,BB,shower rain,86.0,13.22,-59.52,Atlantis Hotel
216,sarai alamgir,PK,smoke,86.0,32.9,73.76,Tulip Riverside Hotel And Restaurant Jehlum
217,arraial do cabo,BR,overcast clouds,80.6,-22.97,-42.03,Pousada Porto Praia
218,acari,PE,few clouds,74.01,-15.43,-74.62,Hospedaje Ximens
220,quincy,US,overcast clouds,86.0,42.25,-71.0,Marriott Boston Quincy
221,vila,PT,clear sky,66.99,42.03,-8.16,Hotel Castrum Villae
224,aquiraz,BR,overcast clouds,82.4,-3.9,-38.39,Pousada Rua Camurupim
225,trairi,BR,broken clouds,81.12,-3.28,-39.27,Pousada Field Lilies - Trairi
228,mitsamiouli,KM,clear sky,78.53,-11.38,43.28,Foyer ADM
230,marsa matruh,EG,clear sky,73.4,31.35,27.25,Beau Site
231,bonavista,CA,clear sky,62.73,48.65,-53.11,Abbott's Bed & Breakfast
232,belyy,RU,few clouds,65.68,55.84,32.94,"Hotel ""obshatsya"""
234,umm lajj,SA,clear sky,82.65,25.02,37.27,Moon light Furnished Units
238,turan,VN,few clouds,82.4,16.07,108.22,Grand Mercure Danang
240,griffith,US,broken clouds,82.99,41.53,-87.42,"Motel 6 Hammond, IN - Chicago Area"
241,ahuimanu,US,overcast clouds,80.6,21.44,-157.84,Paradise Bay Resort
242,matola,MZ,clear sky,68.0,-25.96,32.46,Guesthouse Yuba
243,vigrestad,NO,clear sky,73.0,58.57,5.7,Brusand Camping
246,zonguldak,TR,clear sky,61.02,41.25,31.83,Süleyman Tez Ev
248,santa cruz,BO,thunderstorm with light rain,68.0,-17.8,-63.17,Hotel Cortez
250,urumqi,CN,broken clouds,71.6,43.8,87.6,Hua Ling Grand Hotel Urumqi
251,dingle,PH,overcast clouds,78.12,11.0,122.67,Camp Pasica
254,tautira,PF,few clouds,80.6,-17.73,-149.15,Pension Oaoa
256,kawalu,ID,broken clouds,70.84,-7.38,108.21,KOSAN UNGU UNSIK
258,valparaiso,CL,overcast clouds,62.6,-33.04,-71.63,Hotel Ultramar
259,sao felix do xingu,BR,clear sky,89.96,-6.64,-51.99,Apart Hotel Rio Xingu
260,keuruu,FI,scattered clouds,81.0,62.27,24.7,Hostelli Nonna
263,vila velha,BR,few clouds,79.0,-20.33,-40.29,Hotel Vitória Palace
265,mata,PT,clear sky,66.99,40.68,-7.46,Solar dos Pedrosos
266,hope,US,broken clouds,84.99,33.67,-93.59,Best Western Hope
267,puerto narino,CO,scattered clouds,89.6,-3.77,-70.38,Eware Refugio Amazonico
268,pisco,PE,mist,64.0,-13.7,-76.22,Hostal San Isidro Oficial
269,gat,IL,clear sky,77.0,31.61,34.76,רגע בנחת
271,chamba,IN,clear sky,73.06,32.57,76.13,NotOnMap - Rafi's House
273,bubaque,GW,overcast clouds,81.88,11.28,-15.83,Casa Dora
274,cuamba,MZ,clear sky,63.48,-14.8,36.54,Hotel Vision
275,aswan,EG,clear sky,89.46,24.09,32.91,Nuba Nile
277,kuching,MY,few clouds,77.0,1.55,110.33,Hilton Kuching
280,soyo,AO,overcast clouds,74.28,-6.13,12.37,Hotel Mpampa
283,zyryanka,RU,clear sky,75.87,65.75,150.85,Zyryanka
284,soto la marina,MX,overcast clouds,84.99,23.77,-98.22,Hotel Chicago
287,atambua,ID,broken clouds,69.82,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
289,amapa,BR,scattered clouds,86.5,1.0,-52.0,
291,khatanga,RU,overcast clouds,68.94,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
293,fortuna,US,broken clouds,62.6,40.6,-124.16,Super 8 by Wyndham Fortuna
295,barra da estiva,BR,broken clouds,69.8,-13.63,-41.33,Hotel Santa Rita
298,coquimbo,CL,overcast clouds,64.4,-29.95,-71.34,Hotel San Juan
299,cumberland,US,overcast clouds,78.8,35.05,-78.87,American Eagle Inn
301,la tuque,CA,overcast clouds,60.37,47.43,-72.78,Le Gite du Parc
304,sa kaeo,TH,overcast clouds,77.5,13.81,102.07,Thanasiri Hotel & Resort
307,ixtapa,MX,few clouds,89.6,20.7,-105.2,Container Inn Puerto Vallarta
309,angoram,PG,clear sky,71.62,-4.06,144.07,
311,kamwenge,UG,overcast clouds,66.67,0.19,30.45,Mariana Tourist Hotel
315,cilegon,ID,haze,78.8,-6.02,106.05,Horison Forbis Hotel
316,komsomolskiy,UZ,light rain,78.8,40.43,71.72,Ikathouse
317,hun,LY,clear sky,84.49,29.13,15.95,Alrwasi Hotel
318,sao joao da barra,BR,overcast clouds,80.6,-21.64,-41.05,Pousada Porto De Canoas
321,karratha,AU,clear sky,65.34,-20.74,116.85,ibis Styles Karratha
